,,,time,reward,length,instance,episode,checkpoint
0,10x10_6_inst,10x10_2_inst,44.59118127822876,0.7857142857142857,100,10x10_2_inst,0,10x10_6_inst/0
0,10x10_7_inst,10x10_2_inst,40.237399101257324,0.8061224489795918,100,10x10_2_inst,0,10x10_7_inst/0
0,10x10_8_inst,10x10_2_inst,43.59817719459534,0.7653061224489796,105,10x10_2_inst,0,10x10_8_inst/0
0,10x10_9_inst,10x10_2_inst,43.945035457611084,0.653061224489796,108,10x10_2_inst,0,10x10_9_inst/0
0,10x10_10_inst,10x10_2_inst,44.47491455078125,0.8367346938775511,110,10x10_2_inst,0,10x10_10_inst/0
0,10x10_11_inst,10x10_2_inst,41.83182168006897,0.8061224489795918,104,10x10_2_inst,0,10x10_11_inst/0
0,10x10_12_inst,10x10_2_inst,43.08208179473877,0.7244897959183674,103,10x10_2_inst,0,10x10_12_inst/0
0,10x10_13_inst,10x10_2_inst,43.0395827293396,0.7959183673469388,101,10x10_2_inst,0,10x10_13_inst/0
0,10x10_14_inst,10x10_2_inst,47.53752279281616,0.653061224489796,103,10x10_2_inst,0,10x10_14_inst/0
0,10x10_15_inst,10x10_2_inst,45.634485483169556,0.8877551020408163,101,10x10_2_inst,0,10x10_15_inst/0
0,10x10_16_inst,10x10_2_inst,45.391661167144775,0.7959183673469388,102,10x10_2_inst,0,10x10_16_inst/0
0,10x10_17_inst,10x10_2_inst,48.33103799819946,0.6632653061224489,102,10x10_2_inst,0,10x10_17_inst/0
0,10x10_18_inst,10x10_2_inst,49.761688470840454,0.6938775510204082,101,10x10_2_inst,0,10x10_18_inst/0
0,10x10_19_inst,10x10_2_inst,46.710691690444946,0.8163265306122449,101,10x10_2_inst,0,10x10_19_inst/0
0,10x10_0_inst,10x10_3_inst,56.43255925178528,0.6781609195402298,116,10x10_3_inst,0,10x10_0_inst/0
0,10x10_1_inst,10x10_3_inst,48.604182720184326,0.7931034482758621,101,10x10_3_inst,0,10x10_1_inst/0
0,10x10_2_inst,10x10_3_inst,46.42275881767273,0.7586206896551724,100,10x10_3_inst,0,10x10_2_inst/0
0,10x10_3_inst,10x10_3_inst,49.181315898895264,0.8390804597701149,100,10x10_3_inst,0,10x10_3_inst/0
0,10x10_4_inst,10x10_3_inst,47.5113570690155,0.8160919540229885,100,10x10_3_inst,0,10x10_4_inst/0
0,10x10_5_inst,10x10_3_inst,45.210986614227295,0.8045977011494253,100,10x10_3_inst,0,10x10_5_inst/0
0,10x10_6_inst,10x10_3_inst,45.12542200088501,0.7816091954022988,100,10x10_3_inst,0,10x10_6_inst/0
0,10x10_7_inst,10x10_3_inst,41.861530780792236,0.7471264367816092,100,10x10_3_inst,0,10x10_7_inst/0
0,10x10_8_inst,10x10_3_inst,53.37982535362244,0.7816091954022988,104,10x10_3_inst,0,10x10_8_inst/0
0,10x10_9_inst,10x10_3_inst,54.42992615699768,0.7931034482758621,105,10x10_3_inst,0,10x10_9_inst/0
0,10x10_10_inst,10x10_3_inst,53.17193293571472,0.7586206896551724,108,10x10_3_inst,0,10x10_10_inst/0
0,10x10_11_inst,10x10_3_inst,53.59307670593262,0.7701149425287357,108,10x10_3_inst,0,10x10_11_inst/0
0,10x10_12_inst,10x10_3_inst,53.617039918899536,0.896551724137931,110,10x10_3_inst,0,10x10_12_inst/0
0,10x10_13_inst,10x10_3_inst,53.645785331726074,0.7471264367816092,102,10x10_3_inst,0,10x10_13_inst/0
0,10x10_14_inst,10x10_3_inst,54.017707109451294,0.7471264367816092,104,10x10_3_inst,0,10x10_14_inst/0
0,10x10_15_inst,10x10_3_inst,59.7040741443634,0.6896551724137931,108,10x10_3_inst,0,10x10_15_inst/0
0,10x10_16_inst,10x10_3_inst,47.14525318145752,0.7471264367816092,105,10x10_3_inst,0,10x10_16_inst/0
