,15x15_17_inst.json,15x15_3_inst.json,15x15_11_inst.json,15x15_5_inst.json,15x15_8_inst.json,15x15_2_inst.json,15x15_16_inst.json,15x15_4_inst.json,15x15_10_inst.json,15x15_9_inst.json,15x15_15_inst.json,15x15_1_inst.json,15x15_18_inst.json,15x15_13_inst.json,15x15_7_inst.json,15x15_0_inst.json,15x15_14_inst.json,15x15_19_inst.json,15x15_6_inst.json,15x15_12_inst.json
duration,91.17824268341064,6.938654899597168,16.948297023773193,16.264250993728638,69.3325788974762,3.019476890563965,43.20626378059387,2.7652547359466553,11.561002016067505,8.506939888000488,16.705172061920166,117.45930814743042,3.6699039936065674,16.045918226242065,2.5779709815979004,28.358344078063965,648.90700507164,423.1752619743347,3.6871700286865234,34.734989166259766
optimal value,135.0,136.0,149.0,138.0,150.0,135.0,148.0,153.0,148.0,137.0,137.0,142.0,133.0,143.0,140.0,148.0,152.0,155.0,139.0,142.0
instance type,15x15,15x15,15x15,15x15,15x15,15x15,15x15,15x15,15x15,15x15,15x15,15x15,15x15,15x15,15x15,15x15,15x15,15x15,15x15,15x15
