,3x3_1_inst.json,3x3_11_inst.json,3x3_7_inst.json,3x3_17_inst.json,3x3_0_inst.json,3x3_10_inst.json,3x3_6_inst.json,3x3_16_inst.json,3x3_3_inst.json,3x3_13_inst.json,3x3_18_inst.json,3x3_5_inst.json,3x3_15_inst.json,3x3_8_inst.json,3x3_2_inst.json,3x3_12_inst.json,3x3_19_inst.json,3x3_4_inst.json,3x3_14_inst.json,3x3_9_inst.json
duration,0.007779121398925781,0.005765199661254883,0.005216836929321289,0.005474090576171875,0.005631923675537109,0.005768775939941406,0.0054700374603271484,0.005116939544677734,0.005631923675537109,0.005699872970581055,0.005530118942260742,0.005671977996826172,0.005440711975097656,0.00564885139465332,0.00533294677734375,0.005442142486572266,0.005123138427734375,0.005405902862548828,0.0056989192962646484,0.005110025405883789
optimal value,27.0,34.0,30.0,27.0,27.0,31.0,40.0,26.0,33.0,23.0,23.0,33.0,29.0,31.0,24.0,30.0,22.0,22.0,34.0,30.0
instance type,3x3,3x3,3x3,3x3,3x3,3x3,3x3,3x3,3x3,3x3,3x3,3x3,3x3,3x3,3x3,3x3,3x3,3x3,3x3,3x3
