,6x6_2_inst.json,6x6_13_inst.json,6x6_18_inst.json,6x6_9_inst.json,6x6_15_inst.json,6x6_4_inst.json,6x6_3_inst.json,6x6_12_inst.json,6x6_19_inst.json,6x6_8_inst.json,6x6_14_inst.json,6x6_5_inst.json,6x6_11_inst.json,6x6_0_inst.json,6x6_6_inst.json,6x6_17_inst.json,6x6_10_inst.json,6x6_1_inst.json,6x6_7_inst.json,6x6_16_inst.json
duration,0.0152130126953125,0.013335943222045898,0.014388799667358398,0.01595902442932129,0.012480974197387695,0.012189149856567383,0.014695882797241211,0.012510061264038086,0.011770009994506836,0.012094974517822266,0.013885021209716797,0.012045145034790039,0.012026786804199219,0.014853954315185547,0.014353036880493164,0.011421918869018555,0.011496305465698242,0.013882160186767578,0.012850284576416016,0.011902809143066406
optimal value,61.0,56.0,61.0,70.0,65.0,51.0,68.0,67.0,57.0,64.0,66.0,59.0,58.0,59.0,58.0,58.0,48.0,49.0,61.0,56.0
instance type,6x6,6x6,6x6,6x6,6x6,6x6,6x6,6x6,6x6,6x6,6x6,6x6,6x6,6x6,6x6,6x6,6x6,6x6,6x6,6x6
