,8x8_11_inst.json,8x8_0_inst.json,8x8_6_inst.json,8x8_17_inst.json,8x8_10_inst.json,8x8_1_inst.json,8x8_7_inst.json,8x8_16_inst.json,8x8_2_inst.json,8x8_13_inst.json,8x8_15_inst.json,8x8_4_inst.json,8x8_18_inst.json,8x8_9_inst.json,8x8_3_inst.json,8x8_12_inst.json,8x8_14_inst.json,8x8_5_inst.json,8x8_19_inst.json,8x8_8_inst.json
duration,0.029428958892822266,0.046447038650512695,0.028957128524780273,0.03245115280151367,0.03180694580078125,0.02583789825439453,0.025085926055908203,0.02639174461364746,0.026179075241088867,0.03676009178161621,0.026134967803955078,0.0502619743347168,0.027813196182250977,0.01931285858154297,0.029543161392211914,0.025746822357177734,0.03048992156982422,0.02368307113647461,0.02486395835876465,0.03507566452026367
optimal value,80.0,72.0,72.0,83.0,69.0,79.0,80.0,92.0,81.0,71.0,79.0,89.0,80.0,71.0,83.0,74.0,79.0,69.0,64.0,81.0
instance type,8x8,8x8,8x8,8x8,8x8,8x8,8x8,8x8,8x8,8x8,8x8,8x8,8x8,8x8,8x8,8x8,8x8,8x8,8x8,8x8
