,10x10_2_inst.json,10x10_17_inst.json,10x10_9_inst.json,10x10_11_inst.json,10x10_4_inst.json,10x10_3_inst.json,10x10_16_inst.json,10x10_8_inst.json,10x10_10_inst.json,10x10_5_inst.json,10x10_18_inst.json,10x10_0_inst.json,10x10_15_inst.json,10x10_13_inst.json,10x10_6_inst.json,10x10_19_inst.json,10x10_1_inst.json,10x10_14_inst.json,10x10_12_inst.json,10x10_7_inst.json
duration,0.0666811466217041,0.19084811210632324,0.09663581848144531,0.06129097938537598,0.21959924697875977,0.05267500877380371,0.07723093032836914,0.17217373847961426,0.08204293251037598,0.07300019264221191,0.0878441333770752,0.07097172737121582,0.22437715530395508,0.04984235763549805,0.05164217948913574,0.21959400177001953,0.06049489974975586,0.09127569198608398,0.04507899284362793,0.10874700546264648
optimal value,98.0,95.0,85.0,87.0,98.0,87.0,98.0,94.0,108.0,97.0,99.0,80.0,103.0,94.0,89.0,101.0,100.0,91.0,92.0,98.0
instance type,10x10,10x10,10x10,10x10,10x10,10x10,10x10,10x10,10x10,10x10,10x10,10x10,10x10,10x10,10x10,10x10,10x10,10x10,10x10,10x10
